Clean_Name,min_CC50_mM_on_human,biocompatibility_label,num_measurements,num_human_measurements
((3-HYDROXYPYRIDINE-1-IUM-2 6-DIYL)BIS(METHYLENE))BIS(TRI(THIOPHEN-2-YL)PHOSPHONIUM) CHLORIDE,0.2655,0,1,1
((3-HYDROXYPYRIDINE-1-IUM-2 6-DIYL)BIS(METHYLENE))BIS(TRI-P-TOLYLPHOSPHONIUM) CHLORIDE,0.0037,0,9,9
((3-HYDROXYPYRIDINE-1-IUM-2 6-DIYL)BIS(METHYLENE))BIS(TRIPHENYLPHOSPHONIUM) CHLORIDE,0.0255,0,1,1
((3-HYDROXYPYRIDINE-1-IUM-2 6-DIYL)BIS(METHYLENE))BIS(TRIS(4-FLUOROPHENYL)PHOSPHONIUM) CHLORIDE,0.3899,0,1,1
((5-ACETOXY-4 6-DIMETHYLPYRIDIN-3-YL)METHYL)TRI-P-TOLYLPHOSPHONIUM CHLORIDE,0.0028,0,1,1
((5-ACETOXY-4 6-DIMETHYLPYRIDIN-3-YL)METHYL)TRIPHENYLPHOSPHONIUM CHLORIDE,0.2055,0,1,1
(1-ETHOXY-1-OXOPROPAN-2-YL)TRIPHENYLPHOSPHONIUM CHLORIDE,0.5243,0,1,1
(10-((4 5-DIHYDROXY-7-METHYL-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)OXY)DECYL)TRIPHENYLPHOSPHONIUM BROMIDE,0.0014,0,4,4
(11-METHOXY-11-OXOUNDECYL)TRIPHENYLPHOSPHONIUM BROMIDE,0.00359,0,3,3
(2-(DIMETHYLCARBAMOYL)ALLYL)TRIPHENYLPHOSPHONIUM BROMIDE,0.0812,0,6,6
(2-(METHOXYCARBONYL)ALLYL)TRI-P-TOLYLPHOSPHONIUM BROMIDE,0.00148,0,6,6
(2-(METHOXYCARBONYL)ALLYL)TRIPHENYLPHOSPHONIUM BROMIDE,0.00774,0,6,6
(2-(METHOXYCARBONYL)ALLYL)TRIS(4-METHOXYPHENYL)PHOSPHONIUM BROMIDE,0.00162,0,6,6
(2-(TERT-BUTOXYCARBONYL)ALLYL)TRIPHENYLPHOSPHONIUM BROMIDE,0.00199,0,6,6
(2-(TERT-BUTOXYCARBONYL)ALLYL)TRIS(4-METHOXYPHENYL)PHOSPHONIUM BROMIDE,0.00081,0,6,6
(2-OXO-2-(PHENYLAMINO)ETHYL)TRIPHENYLPHOSPHONIUM CHLORIDE,0.1736,0,1,1
(3-((4 5-DIHYDROXY-7-METHYL-9 10-DIOXO-9 10-DIHYDROANTHRACEN-2-YL)OXY)PROPYL)TRIPHENYLPHOSPHONIUM BROMIDE,0.0032,0,4,4
(3-(ACETYLTHIO)PROPYL)TRIPHENYLPHOSPHONIUM BROMIDE,0.0671,0,1,1
(3-(ACETYLTHIO)PROPYL)TRIS(2 4 6-TRIMETHOXYPHENYL)PHOSPHONIUM BROMIDE,0.06609,0,2,2
(3-(ACETYLTHIO)PROPYL)TRIS(2 6-DIMETHOXYPHENYL)PHOSPHONIUM BROMIDE,0.074,0,2,2
(3-(ACETYLTHIO)PROPYL)TRIS(4-FLUOROPHENYL)PHOSPHONIUM BROMIDE,0.2526,0,1,1
(3-(ACETYLTHIO)PROPYL)TRIS(4-METHOXYPHENYL)PHOSPHONIUM BROMIDE,0.06822,0,2,2
