Clean_Name,min_CC50_mM_on_human,biocompatibility_label,num_measurements,num_human_measurements
((3-HYDROXYPYRIDINE-1-IUM-2 6-DIYL)BIS(METHYLENE))BIS(TRIBUTYLPHOSPHONIUM) CHLORIDE,1.241,-1,1,1
((5-ACETOXY-4 6-DIMETHYLPYRIDIN-3-YL)METHYL)TRIBUTYLPHOSPHONIUM CHLORIDE,1.532,-1,1,1
(E)-N-(2-HYDROXYETHYL)-N N-DIMETHYLPROP-1-EN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,2.29,-1,1,1
(R)-1-BUTOXY-3-METHYL-1-OXOBUTAN-2-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,1.34373,-1,2,2
(R)-1-ETHOXY-1-OXO-3-PHENYLPROPAN-2-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,1.2765,-1,2,2
(R)-1-ETHOXY-3-METHYL-1-OXOBUTAN-2-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,1.28026,-1,2,2
(R)-1-ETHOXY-4-METHYL-1-OXOPENTAN-2-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,1.55946,-1,2,2
(R)-1-ISOPROPOXY-3-METHYL-1-OXOBUTAN-2-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,1.25852,-1,2,2
(R)-1-METHOXY-1-OXO-3-PHENYLPROPAN-2-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,1.24514,-1,2,2
(R)-1-OXO-3-PHENYL-1-PROPOXYPROPAN-2-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,1.42664,-1,2,2
(R)-3-METHYL-1-OXO-1-PROPOXYBUTAN-2-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,1.6689,-1,2,2
(R)-4-METHYL-1-OXO-1-PROPOXYPENTAN-2-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,2.00242,-1,2,2
(S)-1-ETHOXY-1-OXO-3-PHENYLPROPAN-2-AMINIUM 2-HYDROXYBENZOATE,3.205,-1,2,2
(S)-1-ETHOXY-3-METHYL-1-OXOBUTAN-2-AMINIUM 2-HYDROXYBENZOATE,2.118,-1,2,2
(S)-1-ETHOXY-4-METHYL-1-OXOPENTAN-2-AMINIUM 2-HYDROXYBENZOATE,2.69,-1,2,2
(S)-1-ISOPROPOXY-3-METHYL-1-OXOBUTAN-2-AMINIUM 2-HYDROXYBENZOATE,2.213,-1,2,2
(S)-1-METHOXY-1-OXO-3-PHENYLPROPAN-2-AMINIUM 2-HYDROXYBENZOATE,3.123,-1,2,2
(S)-1-METHOXY-1-OXOPROPAN-2-AMINIUM TETRAFLUOROBORATE,9.56,-1,1,1
(S)-1-METHOXY-3-METHYL-1-OXOBUTAN-2-AMINIUM TETRAFLUOROBORATE,6.57,-1,1,1
(S)-1-OXO-3-PHENYL-1-PROPOXYPROPAN-2-AMINIUM 2-HYDROXYBENZOATE,1.882,-1,2,2
(S)-2-(ISOBUTOXYCARBONYL)PYRROLIDIN-1-IUM 2-HYDROXYBENZOATE,2.9,-1,2,2
(S)-2-(ISOPROPOXYCARBONYL)PYRROLIDIN-1-IUM 2-HYDROXYBENZOATE,6.5,-1,2,2
(S)-3-METHYL-1-OXO-1-PROPOXYBUTAN-2-AMINIUM 2-HYDROXYBENZOATE,1.682,-1,2,2
1 1 -(ETHANE-1 2-DIYL)BIS(PYRIDIN-1-IUM) BROMIDE,6.553,-1,4,4
1 1 -(HEXANE-1 6-DIYL)BIS(PYRIDIN-1-IUM) BROMIDE,8.428,-1,4,4
1 3-DIMETHYL-1H-IMIDAZOL-3-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,4.23,-1,1,1
1-((HEPTYLOXY)METHYL)-3-HYDROXYPYRIDIN-1-IUM 3-OXO-3H-BENZO D ISOTHIAZOL-2-IDE 1 1-DIOXIDE,1.1,-1,1,1
1-((HEPTYLOXY)METHYL)-3-HYDROXYPYRIDIN-1-IUM 6-METHYL-4-OXO-4H-1 2 3-OXATHIAZIN-3-IDE 2 2-DIOXIDE,1.1,-1,1,1
1-((HEPTYLOXY)METHYL)-3-HYDROXYPYRIDIN-1-IUM CHLORIDE,1.05,-1,1,1
1-((HEXYLOXY)METHYL)-3-HYDROXYPYRIDIN-1-IUM 3-OXO-3H-BENZO D ISOTHIAZOL-2-IDE 1 1-DIOXIDE,2.2,-1,1,1
1-((HEXYLOXY)METHYL)-3-HYDROXYPYRIDIN-1-IUM 6-METHYL-4-OXO-4H-1 2 3-OXATHIAZIN-3-IDE 2 2-DIOXIDE,2.4,-1,1,1
1-(2-(CINNAMOYLOXY)ETHYL)PYRIDIN-1-IUM CHLORIDE,5.81,-1,1,1
1-(2-(CINNAMYLOXY)ETHYL)-3-METHYL-1H-IMIDAZOL-3-IUM CHLORIDE,6.0,-1,1,1
1-(2-ETHOXYETHYL)-1-METHYLPIPERIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,2.2,-1,1,1
1-(2-ETHOXYETHYL)-1-METHYLPYRROLIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,1.6,-1,1,1
1-(2-ETHOXYETHYL)PYRIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,1.8,-1,1,1
1-(2-HYDROXYETHYL)-1-METHYLPIPERIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,4.5,-1,1,1
1-(2-HYDROXYETHYL)-1-METHYLPYRROLIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,5.2,-1,1,1
1-(2-HYDROXYETHYL)PYRIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,6.2,-1,1,1
1-(2-METHOXYETHYL)-1-METHYLPIPERIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,1.9,-1,1,1
1-(2-METHOXYETHYL)-1-METHYLPYRROLIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,2.0,-1,1,1
1-(2-METHOXYETHYL)PYRIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,1.5,-1,1,1
1-(3-CYANOPROPYL)-1-METHYLPIPERIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,8.581,-1,1,1
1-(3-HYDROXYPROPYL)-1-METHYLPIPERIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,4.2,-1,1,1
1-(3-HYDROXYPROPYL)-1-METHYLPYRROLIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,4.0,-1,1,1
1-(3-HYDROXYPROPYL)PYRIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,3.5,-1,1,1
1-(3-METHOXYPROPYL)-1-METHYLPIPERIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,1.9,-1,1,1
1-(3-METHOXYPROPYL)-1-METHYLPYRROLIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,2.5,-1,1,1
1-(3-METHOXYPROPYL)PYRIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,2.4,-1,1,1
1-(4 5-BIS(METHYLTHIO)PENTYL)-1-METHYLPIPERIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,3.281,-1,1,1
1-(4 5-BIS(METHYLTHIO)PENTYL)-1-METHYLPYRROLIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,3.14,-1,1,1
1-(4-(CINNAMOYLOXY)BUTYL)PYRIDIN-1-IUM CHLORIDE,2.23,-1,1,1
1-(4-(CINNAMOYLOXY)BUTYL)PYRIDIN-1-IUM CINNAMATE,1.06,-1,1,1
1-(4-(CINNAMYLOXY)BUTYL)-3-METHYL-1H-IMIDAZOL-3-IUM CHLORIDE,1.8,-1,1,1
1-(4-(CINNAMYLOXY)BUTYL)-3-METHYL-1H-IMIDAZOL-3-IUM CINNAMATE,2.31,-1,1,1
1-(4-AMMONIOBUTYL)GUANIDINIUM 2-(1 2-DIHYDROXYETHYL)-4-HYDROXY-5-OXO-2 5-DIHYDROFURAN-3-OLATE,1.036,-1,2,2
1-(4-AMMONIOBUTYL)GUANIDINIUM 2-(4-ISOBUTYLPHENYL)ACETATE,1.649737711,-1,2,2
1-(4-AMMONIOBUTYL)GUANIDINIUM 2-AMINO-4-CARBOXYBUTANOATE,4.011544352,-1,2,2
1-(4-AMMONIOBUTYL)GUANIDINIUM 2-HYDROXYBENZOATE,2.039,-1,2,2
1-(4-AMMONIOBUTYL)GUANIDINIUM 3 4-DICARBOXY-3-HYDROXYBUTANOATE,1.695785709,-1,2,2
1-(4-AMMONIOBUTYL)GUANIDINIUM 3-HYDROXYBENZOATE,2.752484992,-1,2,2
1-(4-AMMONIOBUTYL)GUANIDINIUM CHLORIDE,8.686672247,-1,2,2
1-(4-AMMONIOBUTYL)GUANIDINIUM NICOTINATE,3.740230068,-1,2,2
1-(4-AMMONIOBUTYL)GUANIDINIUM NITRATE,4.422605573,-1,2,2
1-(4-AMMONIOBUTYL)GUANIDINIUM SULFATE,4.992903141,-1,2,2
1-(4-HYDROXYBUTYL)PYRIDIN-1-IUM CINNAMATE,6.5,-1,1,1
1-(BUTOXYMETHYL)-3-HYDROXYPYRIDIN-1-IUM 3-OXO-3H-BENZO D ISOTHIAZOL-2-IDE 1 1-DIOXIDE,4.5,-1,1,1
1-(BUTOXYMETHYL)-3-HYDROXYPYRIDIN-1-IUM 6-METHYL-4-OXO-4H-1 2 3-OXATHIAZIN-3-IDE 2 2-DIOXIDE,5.2,-1,1,1
1-(CYANOMETHYL)-1-METHYLPYRROLIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,6.4,-1,1,1
1-(CYANOMETHYL)PYRIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,3.2,-1,1,1
1-(CYANOMETHYL)PYRIDIN-1-IUM CHLORIDE,6.1,-1,1,1
1-(ETHOXYMETHYL)-1-METHYLPIPERIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,2.6,-1,1,1
1-(ETHOXYMETHYL)-1-METHYLPYRROLIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,1.8,-1,1,1
1-(ETHOXYMETHYL)PYRIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,1.3,-1,1,1
1-(ETHOXYMETHYL)PYRIDIN-1-IUM CHLORIDE,2.1,-1,1,1
1-ALLYLPYRIDIN-1-IUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,2.24,-1,1,1
1-ALLYLPYRIDIN-1-IUM CHLORIDE,7.95,-1,1,1
1-BUTYL-1 4-DIMETHYLPIPERAZIN-1-IUM IODIDE,9.691,-1,4,4
1-BUTYL-1-METHYLPYRROLIDIN-1-IUM BROMIDE,5.888,-1,3,3
