source_file,Name,CAS,Clean_Name,CC50_raw,CC50_mM,Cell_line,Method,Mw
ammonium.csv,E-N-(2-((2-(((5-((dimethylamino)methyl)furan-2-yl)methyl)thio)ethyl)amino)-2-(methylamino)vinyl)-N-oxohydroxylammonium 2-(4-isobutylphenyl)propanoate,136584-98-0,E-N-(2-((2-(((5-((DIMETHYLAMINO)METHYL)FURAN-2-YL)METHYL)THIO)ETHYL)AMINO)-2-(METHYLAMINO)VINYL)-N-OXOHYDROXYLAMMONIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,0.631,0.631,HaCat,MTT,520.696
ammonium.csv,(S)-1-methoxy-1-oxopropan-2-aminium nitrate,860159-29-1,(S)-1-METHOXY-1-OXOPROPAN-2-AMINIUM NITRATE,20,20.0,L929,CellQuanti-Blue,166.133
ammonium.csv,"1-carboxy-N,N,N-trimethylmethanaminium 2-hydroxybenzoate",17671-53-3,1-CARBOXY-N N N-TRIMETHYLMETHANAMINIUM 2-HYDROXYBENZOATE,5.4,5.4,CaCo-2,WST-1,255.27
ammonium.csv,"1-carboxy-N,N,N-trimethylmethanaminium 2-hydroxybenzoate",17671-53-3,1-CARBOXY-N N N-TRIMETHYLMETHANAMINIUM 2-HYDROXYBENZOATE,9.91,9.91,HaCat,WST-1,255.27
ammonium.csv,"2-((2,6-dimethylphenyl)amino)-N,N-diethyl-2-oxoethan-1-aminium 2-(4-isobutylphenyl)propanoate",1158170-79-6,2-((2 6-DIMETHYLPHENYL)AMINO)-N N-DIETHYL-2-OXOETHAN-1-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,0.875,0.875,HaCat,MTT,440.628
ammonium.csv,"2-((4-aminobenzoyl)oxy)-N,N-diethylethan-1-aminium 2-(4-isobutylphenyl)propanoate",1062614-63-4,2-((4-AMINOBENZOYL)OXY)-N N-DIETHYLETHAN-1-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,1.304,1.304,HaCat,MTT,442.6
ammonium.csv,2-ethoxy-2-oxoethan-1-aminium nitrate,863889-70-7,2-ETHOXY-2-OXOETHAN-1-AMINIUM NITRATE,20,20.0,L929,CellQuanti-Blue,166.133
ammonium.csv,"2-ethoxy-N-ethyl-N,N-dimethylethan-1-aminium bis((trifluoromethyl)sulfonyl)imide",863031-17-8,2-ETHOXY-N-ETHYL-N N-DIMETHYLETHAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,2,2.0,IPC-81,WST-1,426.401
ammonium.csv,"2-ethoxy-N-ethyl-N,N-dimethylethan-1-aminium chloride",625835-84-9,2-ETHOXY-N-ETHYL-N N-DIMETHYLETHAN-1-AMINIUM CHLORIDE,>20,20.0,IPC-81,WST-1,181.707
ammonium.csv,"2-ethyl-N-(2-(2-hydroxyacetamido)ethyl)-N,N-dimethylhexan-1-aminium bromide",2448401-07-6,2-ETHYL-N-(2-(2-HYDROXYACETAMIDO)ETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BROMIDE,0.88,0.88,HeLa,MTS,339.318
ammonium.csv,"2-ethyl-N-(2-(2-hydroxyacetamido)ethyl)-N,N-dimethylhexan-1-aminium bromide",2448401-07-6,2-ETHYL-N-(2-(2-HYDROXYACETAMIDO)ETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BROMIDE,0.88,0.88,HCT-116,MTS,339.318
ammonium.csv,"2-ethyl-N-(2-(2-hydroxyacetamido)ethyl)-N,N-dimethylhexan-1-aminium bromide",2448401-07-6,2-ETHYL-N-(2-(2-HYDROXYACETAMIDO)ETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BROMIDE,0.88,0.88,MCF-7,MTS,339.318
ammonium.csv,"2-ethyl-N-(2-hexanamidoethyl)-N,N-dimethylhexan-1-aminium bromide",2448401-09-8,2-ETHYL-N-(2-HEXANAMIDOETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BROMIDE,1.18,1.18,HeLa,MTS,379.427
ammonium.csv,"2-ethyl-N-(2-hexanamidoethyl)-N,N-dimethylhexan-1-aminium bromide",2448401-09-8,2-ETHYL-N-(2-HEXANAMIDOETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BROMIDE,1.18,1.18,HCT-116,MTS,379.427
ammonium.csv,"2-ethyl-N-(2-hexanamidoethyl)-N,N-dimethylhexan-1-aminium bromide",2448401-09-8,2-ETHYL-N-(2-HEXANAMIDOETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BROMIDE,1.18,1.18,MCF-7,MTS,379.427
ammonium.csv,"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",2357179-70-3,2-ETHYL-N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)HEXAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,0.24,0.24,HeLa,MTS,659.665
ammonium.csv,"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",2357179-70-3,2-ETHYL-N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)HEXAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,0.087,0.087,HCT-116,MTS,659.665
ammonium.csv,"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",2357179-70-3,2-ETHYL-N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)HEXAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,0.47,0.47,MCF-7,MTS,659.665
ammonium.csv,"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bromide",2448400-93-7,2-ETHYL-N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)HEXAN-1-AMINIUM BROMIDE,0.87,0.87,HeLa,MTS,459.422
ammonium.csv,"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bromide",2448400-93-7,2-ETHYL-N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)HEXAN-1-AMINIUM BROMIDE,0.83,0.83,HCT-116,MTS,459.422
ammonium.csv,"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bromide",2448400-93-7,2-ETHYL-N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)HEXAN-1-AMINIUM BROMIDE,1.12,1.12,MCF-7,MTS,459.422
ammonium.csv,"2-ethyl-N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",,2-ETHYL-N N-DIMETHYL-N-(3-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)PROPYL)HEXAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,5,5.0,HeLa,MTS,673.692
ammonium.csv,"2-ethyl-N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",,2-ETHYL-N N-DIMETHYL-N-(3-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)PROPYL)HEXAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,2.51,2.51,HCT-116,MTS,673.692
ammonium.csv,"2-ethyl-N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",,2-ETHYL-N N-DIMETHYL-N-(3-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)PROPYL)HEXAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,3.12,3.12,MCF-7,MTS,673.692
