Name,CAS,Clean_Name,Source_File
E-N-(2-((2-(((5-((dimethylamino)methyl)furan-2-yl)methyl)thio)ethyl)amino)-2-(methylamino)vinyl)-N-oxohydroxylammonium 2-(4-isobutylphenyl)propanoate,136584-98-0,E-N-(2-((2-(((5-((DIMETHYLAMINO)METHYL)FURAN-2-YL)METHYL)THIO)ETHYL)AMINO)-2-(METHYLAMINO)VINYL)-N-OXOHYDROXYLAMMONIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,ammonium.csv
(S)-1-methoxy-1-oxopropan-2-aminium nitrate,860159-29-1,(S)-1-METHOXY-1-OXOPROPAN-2-AMINIUM NITRATE,ammonium.csv
"1-carboxy-N,N,N-trimethylmethanaminium 2-hydroxybenzoate",17671-53-3,1-CARBOXY-N N N-TRIMETHYLMETHANAMINIUM 2-HYDROXYBENZOATE,ammonium.csv
"2-((2,6-dimethylphenyl)amino)-N,N-diethyl-2-oxoethan-1-aminium 2-(4-isobutylphenyl)propanoate",1158170-79-6,2-((2 6-DIMETHYLPHENYL)AMINO)-N N-DIETHYL-2-OXOETHAN-1-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,ammonium.csv
"2-((4-aminobenzoyl)oxy)-N,N-diethylethan-1-aminium 2-(4-isobutylphenyl)propanoate",1062614-63-4,2-((4-AMINOBENZOYL)OXY)-N N-DIETHYLETHAN-1-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,ammonium.csv
2-ethoxy-2-oxoethan-1-aminium nitrate,863889-70-7,2-ETHOXY-2-OXOETHAN-1-AMINIUM NITRATE,ammonium.csv
"2-ethoxy-N-ethyl-N,N-dimethylethan-1-aminium bis((trifluoromethyl)sulfonyl)imide",863031-17-8,2-ETHOXY-N-ETHYL-N N-DIMETHYLETHAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"2-ethoxy-N-ethyl-N,N-dimethylethan-1-aminium chloride",625835-84-9,2-ETHOXY-N-ETHYL-N N-DIMETHYLETHAN-1-AMINIUM CHLORIDE,ammonium.csv
"2-ethyl-N-(2-(2-hydroxyacetamido)ethyl)-N,N-dimethylhexan-1-aminium bromide",2448401-07-6,2-ETHYL-N-(2-(2-HYDROXYACETAMIDO)ETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BROMIDE,ammonium.csv
"2-ethyl-N-(2-hexanamidoethyl)-N,N-dimethylhexan-1-aminium bromide",2448401-09-8,2-ETHYL-N-(2-HEXANAMIDOETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BROMIDE,ammonium.csv
"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",2357179-70-3,2-ETHYL-N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)HEXAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"2-ethyl-N,N-dimethyl-N-(2-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)ethyl)hexan-1-aminium bromide",2448400-93-7,2-ETHYL-N N-DIMETHYL-N-(2-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)ETHYL)HEXAN-1-AMINIUM BROMIDE,ammonium.csv
"2-ethyl-N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)imide",,2-ETHYL-N N-DIMETHYL-N-(3-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)PROPYL)HEXAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,ammonium.csv
"2-ethyl-N,N-dimethyl-N-(3-((2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanamido)propyl)hexan-1-aminium bromide",2448400-98-2,2-ETHYL-N N-DIMETHYL-N-(3-((2R 3S 4R 5R)-2 3 4 5 6-PENTAHYDROXYHEXANAMIDO)PROPYL)HEXAN-1-AMINIUM BROMIDE,ammonium.csv
2-hydroxyethan-1-aminium 2-hydroxyacetate,68141-00-4,2-HYDROXYETHAN-1-AMINIUM 2-HYDROXYACETATE,ammonium.csv
"2-hydroxyethan-1-aminium 2-hydroxypropane-1,2,3-tricarboxylate",,2-HYDROXYETHAN-1-AMINIUM 2-HYDROXYPROPANE-1 2 3-TRICARBOXYLATE,ammonium.csv
