source_file,Name,Clean_Name,CC50_raw,CC50_mM,Canonical_SMILES,MolWt,LogP,TPSA,HBD,HBA,AromaticRings
ammonium.csv,E-N-(2-((2-(((5-((dimethylamino)methyl)furan-2-yl)methyl)thio)ethyl)amino)-2-(methylamino)vinyl)-N-oxohydroxylammonium 2-(4-isobutylphenyl)propanoate,E-N-(2-((2-(((5-((DIMETHYLAMINO)METHYL)FURAN-2-YL)METHYL)THIO)ETHYL)AMINO)-2-(METHYLAMINO)VINYL)-N-OXOHYDROXYLAMMONIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,,,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CN/C(=C\[N+](=O)O)NCCSCc1ccc(CN(C)C)o1,520.6960000000003,3.0889000000000024,120.88,3.0,8.0,2.0
ammonium.csv,(S)-1-methoxy-1-oxopropan-2-aminium nitrate,(S)-1-METHOXY-1-OXOPROPAN-2-AMINIUM NITRATE,,,COC(=O)[C@H](C)[NH3+].O=[N+]([O-])[O-],166.13299999999998,-1.4492999999999983,120.14,1.0,5.0,0.0
ammonium.csv,"1-carboxy-N,N,N-trimethylmethanaminium 2-hydroxybenzoate",1-CARBOXY-N N N-TRIMETHYLMETHANAMINIUM 2-HYDROXYBENZOATE,,,C[N+](C)(C)CC(=O)O.O=C([O-])c1ccccc1O,255.26999999999998,-0.4670999999999991,97.66,2.0,4.0,1.0
ammonium.csv,"1-carboxy-N,N,N-trimethylmethanaminium 2-hydroxybenzoate",1-CARBOXY-N N N-TRIMETHYLMETHANAMINIUM 2-HYDROXYBENZOATE,,,C[N+](C)(C)CC(=O)O.O=C([O-])c1ccccc1O,255.26999999999998,-0.4670999999999991,97.66,2.0,4.0,1.0
ammonium.csv,"2-((2,6-dimethylphenyl)amino)-N,N-diethyl-2-oxoethan-1-aminium 2-(4-isobutylphenyl)propanoate",2-((2 6-DIMETHYLPHENYL)AMINO)-N N-DIETHYL-2-OXOETHAN-1-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,,,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CC[NH+](CC)CC(=O)Nc1c(C)cccc1C,440.6280000000002,2.905140000000001,73.66999999999999,2.0,3.0,2.0
ammonium.csv,"2-((4-aminobenzoyl)oxy)-N,N-diethylethan-1-aminium 2-(4-isobutylphenyl)propanoate",2-((4-AMINOBENZOYL)OXY)-N N-DIETHYLETHAN-1-AMINIUM 2-(4-ISOBUTYLPHENYL)PROPANOATE,,,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CC[NH+](CC)CCOC(=O)c1ccc(N)cc1,442.60000000000025,2.0888000000000018,96.89,2.0,5.0,2.0
ammonium.csv,2-ethoxy-2-oxoethan-1-aminium nitrate,2-ETHOXY-2-OXOETHAN-1-AMINIUM NITRATE,,,CCOC(=O)C[NH3+].O=[N+]([O-])[O-],166.13299999999998,-1.4476999999999984,120.14,1.0,5.0,0.0
ammonium.csv,"2-ethoxy-N-ethyl-N,N-dimethylethan-1-aminium bis((trifluoromethyl)sulfonyl)imide",2-ETHOXY-N-ETHYL-N N-DIMETHYLETHAN-1-AMINIUM BIS((TRIFLUOROMETHYL)SULFONYL)IMIDE,,,CCOCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,426.401,2.1785000000000005,91.61000000000001,0.0,5.0,0.0
ammonium.csv,"2-ethoxy-N-ethyl-N,N-dimethylethan-1-aminium chloride",2-ETHOXY-N-ETHYL-N N-DIMETHYLETHAN-1-AMINIUM CHLORIDE,,,CCOCC[N+](C)(C)CC.[Cl-],181.707,-1.8767999999999962,9.23,0.0,1.0,0.0
ammonium.csv,"2-ethyl-N-(2-(2-hydroxyacetamido)ethyl)-N,N-dimethylhexan-1-aminium bromide",2-ETHYL-N-(2-(2-HYDROXYACETAMIDO)ETHYL)-N N-DIMETHYLHEXAN-1-AMINIUM BROMIDE,,,CCCCC(CC)C[N+](C)(C)CCNC(=O)CO.[Br-],339.3179999999999,-1.608299999999995,49.33,2.0,2.0,0.0
