Clean_Name,corr_score_min,corr_score_mean,corr_score_var,data_points,UNS
,1.0,1.0,0.0,2,
0 3 CU STEEL,0.9427755595944493,0.9581188437124665,0.00018004712291708774,3,K12810
1 25CR-0 5MO STEEL,0.29831311230732305,0.3079260739654618,0.00018481806368169003,2,K11597
1 2MN-0 75NI-0 45CU STEEL,0.9566421290774022,0.9640017349893576,4.571127389793827e-05,4,
1 8NI-0 81CU,0.9461589647691411,0.9577076734507889,9.744066325349287e-05,4,
10 AL BRONZE,0.8545097108149906,0.8545097108149906,0.0,1,C61800
1010 STEEL,0.6241963505817848,0.8428941788941542,0.02310423718771384,13,G10100
1020,0.2797055828601458,0.7515416436394529,0.0967159003307238,12,G10200
1020 STEEL,0.4509615515410183,0.7537848443800792,0.05496164160050758,9,G10200
1040 STEEL,0.9031710582573919,0.966042948154237,0.0007613993805562479,8,G10400
1050 STEEL,0.8846944397064769,0.9584598141018384,0.001323928158765014,9,G10500
10CR,0.3425739114728579,0.5887079606655851,0.062479557785825444,10,
1100-H14,0.999869748162524,0.999869748162524,0.0,1,A91100
1135-H14,0.999869748162524,0.999869748162524,0.0,1,A91135
1188-H14,0.999869748162524,0.999869748162524,0.0,1,A91188
1199-H18,0.9999131573306553,0.9999131573306553,0.0,1,A91199
12CR,0.7877036658464717,0.8917004429919597,0.021630659313296635,2,S41000
13CR STEEL,0.718031297231934,0.8558289092065079,0.00972455966777006,4,S41000
14CR,0.7906276949992507,0.7906276949992507,0.0,1,S40500
16-16-1,,,0.0,0,
16NI 8CR 5SI 1CU,0.6376730650484089,0.8462033606383565,0.016455903593102447,5,
16NI 8CR 5SI 1CU 1MO,0.792109894897813,0.9224502914057512,0.006812016755827636,5,
17CR,0.29521255340158264,0.4682735903622966,0.028190183161213658,10,S43000
18 5 CR,0.3507223399974432,0.3507223399974432,0.0,1,S44200
18-8 PLUS,0.9789332927760972,0.9789332927760972,0.0,2,S31600
18-8MO,0.6440525990181933,0.8203020004466155,0.062127703007754234,2,S31600
18-8TI,0.5449424674606055,0.7696821562280172,0.10101585541454619,2,S32100
18CR-1V,0.5092199809343438,0.5092199809343438,0.0,1,
18CR-1V-0 7TI,0.5056318270792695,0.5056318270792695,0.0,1,
18CR-1V-1NI,0.49785916284315224,0.49785916284315224,0.0,1,
18CR-2 6V,0.47157044858669794,0.47157044858669794,0.0,1,
18CR-2 6V-0 7TI,0.6200458888731156,0.6200458888731156,0.0,1,
18CR-2 6V-1NI- 10TI,0.48986165536421117,0.48986165536421117,0.0,1,
18CR-2MO,0.9978386199262116,0.9978386199262116,0.0,2,S18200
18CR-2NI-12MN,0.5366927829465896,0.8007788855752448,0.04434713316105942,7,S24100
18CR-4V,0.4989219858054781,0.4989219858054781,0.0,1,
18CR-4V- 09NB,0.6285099898418801,0.6285099898418801,0.0,1,
18CR-4V- 11TI,0.8304820237218405,0.8304820237218405,0.0,1,
18CR-4V-0 9MO- 11TI,0.9956972201374479,0.9956972201374479,0.0,1,
18CR-4V-1 5NI- 11TI,0.6910095361682882,0.6910095361682882,0.0,1,
18CR-4V-1 5NI-1 1CU,0.5333159078712726,0.5333159078712726,0.0,1,
18CR-4V-1 5NI-1 5SI,0.9266284080291267,0.9266284080291267,0.0,1,
18CR-4V-1NI- 12TI,0.8977117175026231,0.8977117175026231,0.0,1,
