Material_ID,Material_Raw,Material_Name,Clean_Name,Standard,Material_Type,Heat treatment,Tensile_Strength_MPa,Tensile_Strength_MPa,Yield_Strength_MPa,Yield_Strength_MPa,Youngs_Modulus_GPa,Shear_Modulus_GPa,Poisson_Ratio,Poisson_Ratio,Density_gcm3,Elongation_percent,Elongation_percent,Hardness_BHN,Hardness_BHN,Hardness_HV,Hardness_HV,Notes
D8894772B88F495093C43AF905AB6373,Steel SAE 1015,STEEL SAE 1015,STEEL SAE 1015,ANSI,STEEL,as-rolled,421.0,,314.0,,207.0,79.0,0.3,,7.86,39.0,,126.0,,,,
05982AC66F064F9EBC709E7A4164613A,Steel SAE 1015,STEEL SAE 1015,STEEL SAE 1015,ANSI,STEEL,normalized,424.0,,324.0,,207.0,79.0,0.3,,7.86,37.0,,121.0,,,,
356D6E63FF9A49A3AB23BF66BAC85DC3,Steel SAE 1015,STEEL SAE 1015,STEEL SAE 1015,ANSI,STEEL,annealed,386.0,,284.0,,207.0,79.0,0.3,,7.86,37.0,,111.0,,,,
1C758F8714AC4E0D9BD8D8AE1625AECD,Steel SAE 1020,STEEL SAE 1020,STEEL SAE 1020,ANSI,STEEL,as-rolled,448.0,,331.0,,207.0,79.0,0.3,,7.86,36.0,,143.0,,,,
DCE10036FC1946FC8C9108D598D116AD,Steel SAE 1020,STEEL SAE 1020,STEEL SAE 1020,ANSI,STEEL,normalized,441.0,,346.0,,207.0,79.0,0.3,,7.86,35.8,,131.0,,,,
2EC038241908434FA714FEEBE24DDEFE,Steel SAE 1020,STEEL SAE 1020,STEEL SAE 1020,ANSI,STEEL,annealed,395.0,,295.0,,207.0,79.0,0.3,,7.86,36.5,,111.0,,,,
356B183DD9E34A1C80A5028D43B9E149,Steel SAE 1022,STEEL SAE 1022,STEEL SAE 1022,ANSI,STEEL,as-rolled,503.0,,359.0,,207.0,79.0,0.3,,7.86,35.0,,149.0,,,,
95CB82FA86314D8490932A9E740744E3,Steel SAE 1022,STEEL SAE 1022,STEEL SAE 1022,ANSI,STEEL,normalized,483.0,,359.0,,207.0,79.0,0.3,,7.86,34.0,,143.0,,,,
942333E2D11B4C2CA0B9DFD6D1CE38E0,Steel SAE 1022,STEEL SAE 1022,STEEL SAE 1022,ANSI,STEEL,annealed,450.0,,317.0,,207.0,79.0,0.3,,7.86,35.0,,137.0,,,,
5E035DD0692F47E3A92EB298101AA124,Steel SAE 1030,STEEL SAE 1030,STEEL SAE 1030,ANSI,STEEL,as-rolled,552.0,,345.0,,207.0,79.0,0.3,,7.86,32.0,,179.0,,,,
8C9BE76E417841C3B821D4776B498039,Steel SAE 1030,STEEL SAE 1030,STEEL SAE 1030,ANSI,STEEL,normalized,517.0,,345.0,,207.0,79.0,0.3,,7.86,32.0,,149.0,,,,
39E235137DD74F3CA35EA024AFD04964,Steel SAE 1030,STEEL SAE 1030,STEEL SAE 1030,ANSI,STEEL,annealed,464.0,,341.0,,207.0,79.0,0.3,,7.86,31.0,,126.0,,,,
436484F7350147F7A2982D1410FB03CC,Steel SAE 1030,STEEL SAE 1030,STEEL SAE 1030,ANSI,STEEL,tempered at 400 F,848.0,,648.0,,207.0,79.0,0.3,,7.86,17.0,,495.0,,,,
65BF7EFEEAE24296AC60198D15FCEFD6,Steel SAE 1040,STEEL SAE 1040,STEEL SAE 1040,ANSI,STEEL,as-rolled,621.0,,414.0,,207.0,79.0,0.3,,7.86,25.0,,201.0,,,,
E9134C5FCB8C41569B3B50315A4D13A5,Steel SAE 1040,STEEL SAE 1040,STEEL SAE 1040,ANSI,STEEL,normalized,590.0,,374.0,,207.0,79.0,0.3,,7.86,28.0,,170.0,,,,
CEEFEC39D52C4CBC9FD7A599BF6E4078,Steel SAE 1040,STEEL SAE 1040,STEEL SAE 1040,ANSI,STEEL,annealed,519.0,,353.0,,207.0,79.0,0.3,,7.86,30.0,,149.0,,,,
C3F57A34049943E98579CCEF761EE90D,Steel SAE 1040,STEEL SAE 1040,STEEL SAE 1040,ANSI,STEEL,tempered at 400 F,779.0,,593.0,,207.0,79.0,0.3,,7.86,19.0,,262.0,,,,
6BB34C63B60749ADA2E4522BE8B284E2,Steel SAE 1050,STEEL SAE 1050,STEEL SAE 1050,ANSI,STEEL,as-rolled,724.0,,414.0,,207.0,79.0,0.3,,7.86,20.0,,229.0,,,,
5D7646BB490A4A41A0C059C46224189F,Steel SAE 1050,STEEL SAE 1050,STEEL SAE 1050,ANSI,STEEL,normalized,748.0,,427.0,,207.0,79.0,0.3,,7.86,20.0,,217.0,,,,
4DD78B764534417698C437FBECD1B914,Steel SAE 1050,STEEL SAE 1050,STEEL SAE 1050,ANSI,STEEL,annealed,636.0,,365.0,,207.0,79.0,0.3,,7.86,23.7,,187.0,,,,
60F13C35666C4904BB693C60FFC8297E,Steel SAE 1050,STEEL SAE 1050,STEEL SAE 1050,ANSI,STEEL,tempered at 600 F,979.0,,724.0,,207.0,79.0,0.3,,7.86,14.0,,321.0,,,,
EC7B0B89340448B2A2A9AA29CC77DFB8,Steel SAE 1060,STEEL SAE 1060,STEEL SAE 1060,ANSI,STEEL,as-rolled,814.0,,483.0,,207.0,79.0,0.3,,7.86,17.0,,241.0,,,,
EDF9BFB1E0D14FADAAFE02B8B7157D69,Steel SAE 1060,STEEL SAE 1060,STEEL SAE 1060,ANSI,STEEL,normalized,776.0,,421.0,,207.0,79.0,0.3,,7.86,18.0,,229.0,,,,
2A8B4A39AA164951BF57C49A2FD5A8C0,Steel SAE 1060,STEEL SAE 1060,STEEL SAE 1060,ANSI,STEEL,annealed,626.0,,372.0,,207.0,79.0,0.3,,7.86,22.5,,179.0,,,,
51BB6C68630743439C326AAF86EA0D7C,Steel SAE 1060,STEEL SAE 1060,STEEL SAE 1060,ANSI,STEEL,tempered at 600 F,1103.0,,779.0,,207.0,79.0,0.3,,7.86,13.0,,321.0,,,,
677DEA95360F4ED08E9D8BA76BD75254,Steel SAE 1080,STEEL SAE 1080,STEEL SAE 1080,ANSI,STEEL,as-rolled,965.0,,586.0,,207.0,79.0,0.3,,7.86,12.0,,293.0,,,,
E675A2F2E21E40B8830C1B3F23114D89,Steel SAE 1080,STEEL SAE 1080,STEEL SAE 1080,ANSI,STEEL,normalized,1010.0,,524.0,,207.0,79.0,0.3,,7.86,11.0,,293.0,,,,
4D3E61A5DD21432FA051902D9F8B4567,Steel SAE 1080,STEEL SAE 1080,STEEL SAE 1080,ANSI,STEEL,annealed,615.0,,376.0,,207.0,79.0,0.3,,7.86,24.7,,174.0,,,,
CE4812A480FD405E8E0DAA0516695E81,Steel SAE 1080,STEEL SAE 1080,STEEL SAE 1080,ANSI,STEEL,tempered at 600 F,1303.0,,979.0,,207.0,79.0,0.3,,7.86,12.0,,388.0,,,,
683B75ED3E71416BA59C281AA8342B0A,Steel SAE 1095,STEEL SAE 1095,STEEL SAE 1095,ANSI,STEEL,as-rolled,965.0,,572.0,,207.0,79.0,0.3,,7.86,9.0,,293.0,,,,
5624C3966397415184BEEE0B6D6EEF68,Steel SAE 1095,STEEL SAE 1095,STEEL SAE 1095,ANSI,STEEL,normalized,1014.0,,500.0,,207.0,79.0,0.3,,7.86,9.5,,293.0,,,,
388DD3EB93E1425BACFFD7A927F1E4B1,Steel SAE 1095,STEEL SAE 1095,STEEL SAE 1095,ANSI,STEEL,annealed,657.0,,379.0,,207.0,79.0,0.3,,7.86,13.0,,192.0,,,,
18E85A7791694976A24C8E052BD13769,Steel SAE 1095,STEEL SAE 1095,STEEL SAE 1095,ANSI,STEEL,tempered at 400 F,1289.0,,827.0,,207.0,79.0,0.3,,7.86,10.0,,401.0,,,,
76D2C71250F34F3BB4E20D9795D8FDF9,Steel SAE 1117,STEEL SAE 1117,STEEL SAE 1117,ANSI,STEEL,as-rolled,487.0,,305.0,,207.0,79.0,0.3,,7.86,33.0,,143.0,,,,
8F59F91D01774EAD9862D688E8862F62,Steel SAE 1117,STEEL SAE 1117,STEEL SAE 1117,ANSI,STEEL,normalized,467.0,,303.0,,207.0,79.0,0.3,,7.86,33.5,,137.0,,,,
5412CBE18E014D6CA2349F98FDCB7CF1,Steel SAE 1117,STEEL SAE 1117,STEEL SAE 1117,ANSI,STEEL,annealed,429.0,,279.0,,207.0,79.0,0.3,,7.86,32.8,,121.0,,,,
B31ADD3ACE6D429EAED969BF1A48FCE8,Steel SAE 1118,STEEL SAE 1118,STEEL SAE 1118,ANSI,STEEL,as-rolled,521.0,,316.0,,207.0,79.0,0.3,,7.86,32.0,,149.0,,,,
14E4B51BED3342A7936E3D09E5E5B406,Steel SAE 1118,STEEL SAE 1118,STEEL SAE 1118,ANSI,STEEL,normalized,477.0,,319.0,,207.0,79.0,0.3,,7.86,33.5,,143.0,,,,
AEFFF966ED4E441BB320C8A8A4365FFA,Steel SAE 1118,STEEL SAE 1118,STEEL SAE 1118,ANSI,STEEL,annealed,450.0,,284.0,,207.0,79.0,0.3,,7.86,34.5,,131.0,,,,
CF27002A1B9448539D2074C9C99A411A,Steel SAE 1137,STEEL SAE 1137,STEEL SAE 1137,ANSI,STEEL,as-rolled,627.0,,379.0,,207.0,79.0,0.3,,7.86,28.0,,192.0,,,,
B9823642AF7E4A239F39B049736B33CF,Steel SAE 1137,STEEL SAE 1137,STEEL SAE 1137,ANSI,STEEL,normalized,669.0,,396.0,,207.0,79.0,0.3,,7.86,22.5,,197.0,,,,
F9E819061E7A4AC799912C9C718136E0,Steel SAE 1137,STEEL SAE 1137,STEEL SAE 1137,ANSI,STEEL,annealed,584.0,,345.0,,207.0,79.0,0.3,,7.86,26.8,,174.0,,,,
4955B1FBC76643B0A1C62062B4DDDEEB,Steel SAE 1137,STEEL SAE 1137,STEEL SAE 1137,ANSI,STEEL,tempered at 400 F,1082.0,,938.0,,207.0,79.0,0.3,,7.86,5.0,,352.0,,,,
B0802701EBB749C9AE296C2ACFA172FE,Steel SAE 1141,STEEL SAE 1141,STEEL SAE 1141,ANSI,STEEL,as-rolled,676.0,,359.0,,207.0,79.0,0.3,,7.86,22.0,,192.0,,,,
55104F2A46594921B7EA1A69A87AB996,Steel SAE 1141,STEEL SAE 1141,STEEL SAE 1141,ANSI,STEEL,normalized,707.0,,405.0,,207.0,79.0,0.3,,7.86,22.7,,201.0,,,,
53A2EC1C4EA24F5AB1E229C4D9E61828,Steel SAE 1141,STEEL SAE 1141,STEEL SAE 1141,ANSI,STEEL,annealed,598.0,,353.0,,207.0,79.0,0.3,,7.86,25.5,,163.0,,,,
F013E5DB6E4247368996B896F7B42124,Steel SAE 1141,STEEL SAE 1141,STEEL SAE 1141,ANSI,STEEL,tempered at 400 F,1634.0,,1213.0,,207.0,79.0,0.3,,7.86,6.0,,461.0,,,,
E766C49F05B941258F0D26D634F9B09C,Steel SAE 1144,STEEL SAE 1144,STEEL SAE 1144,ANSI,STEEL,as-rolled,703.0,,421.0,,207.0,79.0,0.3,,7.86,21.0,,212.0,,,,
A6957B64C23249A9B9098108B8822ABD,Steel SAE 1144,STEEL SAE 1144,STEEL SAE 1144,ANSI,STEEL,normalized,667.0,,400.0,,207.0,79.0,0.3,,7.86,21.0,,197.0,,,,
70DFA279BC8646BB9186C383AC15A1B7,Steel SAE 1144,STEEL SAE 1144,STEEL SAE 1144,ANSI,STEEL,annealed,584.0,,346.0,,207.0,79.0,0.3,,7.86,24.8,,167.0,,,,
1EA0C63CE8E646B48BDD0A2CEB4F84AD,Steel SAE 1144,STEEL SAE 1144,STEEL SAE 1144,ANSI,STEEL,tempered at 400 F,876.0,,627.0,,207.0,79.0,0.3,,7.86,17.0,,277.0,,,,
DD26C8179B3E480496DF925718220483,Steel SAE 1340,STEEL SAE 1340,STEEL SAE 1340,ANSI,STEEL,normalized,836.0,,558.0,,207.0,79.0,0.3,,7.86,22.0,,248.0,,,,
279530D698244B6A8D45448148B661C9,Steel SAE 1340,STEEL SAE 1340,STEEL SAE 1340,ANSI,STEEL,annealed,703.0,,436.0,,207.0,79.0,0.3,,7.86,25.5,,207.0,,,,
D39EB1FD3E0241B599A4E47F81CFAA23,Steel SAE 1340,STEEL SAE 1340,STEEL SAE 1340,ANSI,STEEL,tempered at 400 F,1806.0,,1593.0,,207.0,79.0,0.3,,7.86,11.0,,505.0,,,,
62DAD57F176D4491BCBF13927AB5486D,Steel SAE 3140,STEEL SAE 3140,STEEL SAE 3140,ANSI,STEEL,normalized,891.0,,600.0,,207.0,79.0,0.3,,7.86,19.7,,262.0,,,,
849657544E284411BDFD5159978EE22F,Steel SAE 3140,STEEL SAE 3140,STEEL SAE 3140,ANSI,STEEL,annealed,689.0,,422.0,,207.0,79.0,0.3,,7.86,24.5,,197.0,,,,
EF66164C6CFE430B937654F70E12D7EC,Steel SAE 4037,STEEL SAE 4037,STEEL SAE 4037,ANSI,STEEL,tempered at 400 F,1027.0,,758.0,,207.0,79.0,0.3,,7.86,6.0,,310.0,,,,
1351D7DC9B18472F95F575337A1358B6,Steel SAE 4042,STEEL SAE 4042,STEEL SAE 4042,ANSI,STEEL,tempered at 400 F,1800.0,,1662.0,,207.0,79.0,0.3,,7.86,12.0,,516.0,,,,
E20EC626F1E841248C34272843C62F7B,Steel SAE 4130,STEEL SAE 4130,STEEL SAE 4130,ANSI,STEEL,normalized,669.0,,436.0,,207.0,79.0,0.3,,7.86,25.5,,197.0,,,,
99C77C3670B54339B60D684BA6E81764,Steel SAE 4130,STEEL SAE 4130,STEEL SAE 4130,ANSI,STEEL,annealed,560.0,,360.0,,207.0,79.0,0.3,,7.86,28.2,,156.0,,,,
8638842ED9F44FA2AD535A9429DE4BB3,Steel SAE 4130,STEEL SAE 4130,STEEL SAE 4130,ANSI,STEEL,tempered at 400 F,1627.0,,1462.0,,207.0,79.0,0.3,,7.86,10.0,,467.0,,,,
676EAF141CD24D92A7C598DFB07ADD96,Steel SAE 4140,STEEL SAE 4140,STEEL SAE 4140,ANSI,STEEL,normalized,1020.0,,655.0,,207.0,79.0,0.3,,7.86,17.7,,302.0,,,,
F9992EBE68824E398334E26710CE817F,Steel SAE 4140,STEEL SAE 4140,STEEL SAE 4140,ANSI,STEEL,annealed,655.0,,417.0,,207.0,79.0,0.3,,7.86,25.7,,197.0,,,,
A7414D9AC1834478929B86F5EA58628D,Steel SAE 4140,STEEL SAE 4140,STEEL SAE 4140,ANSI,STEEL,tempered at 400 F,1772.0,,1641.0,,207.0,79.0,0.3,,7.86,8.0,,510.0,,,,
0CAC547704BE468E93FC049EC957CCBA,Steel SAE 4150,STEEL SAE 4150,STEEL SAE 4150,ANSI,STEEL,normalized,1155.0,,734.0,,207.0,79.0,0.3,,7.86,11.7,,321.0,,,,
76B0AE8D9FC84B19B8C9777F23F7535C,Steel SAE 4150,STEEL SAE 4150,STEEL SAE 4150,ANSI,STEEL,annealed,729.0,,379.0,,207.0,79.0,0.3,,7.86,20.2,,197.0,,,,
0A6487FACA444912BA9AD9187C817B9C,Steel SAE 4150,STEEL SAE 4150,STEEL SAE 4150,ANSI,STEEL,tempered at 400 F,1931.0,,1724.0,,207.0,79.0,0.3,,7.86,10.0,,530.0,,,,
900569479B7A433ABE2D53767A0878F2,Steel SAE 4320,STEEL SAE 4320,STEEL SAE 4320,ANSI,STEEL,normalized,793.0,,464.0,,207.0,79.0,0.3,,7.86,20.8,,235.0,,,,
77BFFA21FE4744069205BF8C549141D0,Steel SAE 4320,STEEL SAE 4320,STEEL SAE 4320,ANSI,STEEL,annealed,579.0,,425.0,,207.0,79.0,0.3,,7.86,29.0,,163.0,,,,
689FB068F4FA47B2B368C374BFC50C29,Steel SAE 4340,STEEL SAE 4340,STEEL SAE 4340,ANSI,STEEL,normalized,1279.0,,862.0,,207.0,79.0,0.3,,7.86,12.2,,363.0,,,,
51C972EA2EF04A728F9F537C74F69671,Steel SAE 4340,STEEL SAE 4340,STEEL SAE 4340,ANSI,STEEL,annealed,745.0,,472.0,,207.0,79.0,0.3,,7.86,22.0,,217.0,,,,
40312809F59B4904AE2865372AD4C1F5,Steel SAE 4340,STEEL SAE 4340,STEEL SAE 4340,ANSI,STEEL,tempered at 400 F,1875.0,,1675.0,,207.0,79.0,0.3,,7.86,10.0,,520.0,,,,
642039B632684DBB8C35AB46B2B30047,Steel SAE 4620,STEEL SAE 4620,STEEL SAE 4620,ANSI,STEEL,normalized,574.0,,366.0,,207.0,79.0,0.3,,7.86,29.0,,174.0,,,,
1A42AEA1CB5F426E8C626FFC15F9C53A,Steel SAE 4620,STEEL SAE 4620,STEEL SAE 4620,ANSI,STEEL,annealed,512.0,,372.0,,207.0,79.0,0.3,,7.86,31.3,,149.0,,,,
86D694E8101348BEB38DD49AC88C20A3,Steel SAE 4820,STEEL SAE 4820,STEEL SAE 4820,ANSI,STEEL,normalized,755.0,,484.0,,207.0,79.0,0.3,,7.86,24.0,,229.0,,,,
B46E961340E14196B2580DEBF16E0369,Steel SAE 4820,STEEL SAE 4820,STEEL SAE 4820,ANSI,STEEL,annealed,681.0,,464.0,,207.0,79.0,0.3,,7.86,22.3,,197.0,,,,
4DA8385C719D4A69826B2611122C2C1A,Steel SAE 5046,STEEL SAE 5046,STEEL SAE 5046,ANSI,STEEL,tempered at 400 F,1744.0,,1407.0,,207.0,79.0,0.3,,7.86,9.0,,482.0,,,,
DF94587BEC0E447E89452D80240483C5,Steel SAE 5130,STEEL SAE 5130,STEEL SAE 5130,ANSI,STEEL,tempered at 400 F,1613.0,,1517.0,,207.0,79.0,0.3,,7.86,10.0,,475.0,,,,
EFD90FA98D684823B2FE7D7E03959C7A,Steel SAE 5140,STEEL SAE 5140,STEEL SAE 5140,ANSI,STEEL,normalized,793.0,,472.0,,207.0,79.0,0.3,,7.86,22.7,,229.0,,,,
93C8A8F26610442C9E6E373AF55A4FBE,Steel SAE 5140,STEEL SAE 5140,STEEL SAE 5140,ANSI,STEEL,annealed,572.0,,293.0,,207.0,79.0,0.3,,7.86,28.6,,167.0,,,,
48166F06C0144B878E9104A65AC6F831,Steel SAE 5140,STEEL SAE 5140,STEEL SAE 5140,ANSI,STEEL,tempered at 400 F,1793.0,,1641.0,,207.0,79.0,0.3,,7.86,9.0,,490.0,,,,
E84590929F054F399D4B890715AA82DB,Steel SAE 5150,STEEL SAE 5150,STEEL SAE 5150,ANSI,STEEL,normalized,870.0,,529.0,,207.0,79.0,0.3,,7.86,20.7,,255.0,,,,
C3EA5AD0DAE341A6AB3B8CD6EC191D50,Steel SAE 5150,STEEL SAE 5150,STEEL SAE 5150,ANSI,STEEL,annealed,676.0,,357.0,,207.0,79.0,0.3,,7.86,22.0,,197.0,,,,
59714293436F4E3AAFB6C7C21BCB8D6A,Steel SAE 5150,STEEL SAE 5150,STEEL SAE 5150,ANSI,STEEL,tempered at 400 F,1944.0,,1731.0,,207.0,79.0,0.3,,7.86,5.0,,525.0,,,,
C500FBB2FE424BD6A5C3804013E041E4,Steel SAE 5160,STEEL SAE 5160,STEEL SAE 5160,ANSI,STEEL,normalized,957.0,,531.0,,207.0,79.0,0.3,,7.86,17.5,,269.0,,,,
23FDAACF3EE5449195F65F16F609D4D6,Steel SAE 5160,STEEL SAE 5160,STEEL SAE 5160,ANSI,STEEL,annealed,722.0,,276.0,,207.0,79.0,0.3,,7.86,17.2,,197.0,,,,
D7C18C6812084E65B3E2719ECC60765C,Steel SAE 5160,STEEL SAE 5160,STEEL SAE 5160,ANSI,STEEL,tempered at 400 F,2220.0,,1793.0,,207.0,79.0,0.3,,7.86,4.0,,627.0,,,,
995316D125324A8E8A692E5E13334E99,Steel SAE 6150,STEEL SAE 6150,STEEL SAE 6150,ANSI,STEEL,normalized,939.0,,615.0,,207.0,79.0,0.3,,7.86,21.8,,269.0,,,,
C66C891B7F304727A2A4BF6AC6BB527B,Steel SAE 6150,STEEL SAE 6150,STEEL SAE 6150,ANSI,STEEL,annealed,667.0,,412.0,,207.0,79.0,0.3,,7.86,23.0,,197.0,,,,
59CA95AEB9D94C1EAAAD627C601EE5AE,Steel SAE 6150,STEEL SAE 6150,STEEL SAE 6150,ANSI,STEEL,tempered at 400 F,1931.0,,1689.0,,207.0,79.0,0.3,,7.86,8.0,,538.0,,,,
2E4BC847E6B54D21BC69AD30393DCFEE,Steel SAE 8620,STEEL SAE 8620,STEEL SAE 8620,ANSI,STEEL,normalized,633.0,,357.0,,207.0,79.0,0.3,,7.86,26.3,,183.0,,,,
8F16966CB0284A36BAFD4E01AAC804F9,Steel SAE 8620,STEEL SAE 8620,STEEL SAE 8620,ANSI,STEEL,annealed,536.0,,385.0,,207.0,79.0,0.3,,7.86,31.3,,149.0,,,,
52B681AD628C42C88D4E60ED8D4307A9,Steel SAE 8630,STEEL SAE 8630,STEEL SAE 8630,ANSI,STEEL,normalized,650.0,,429.0,,207.0,79.0,0.3,,7.86,23.5,,187.0,,,,
EC86DACF22434C808E85D14845FA25F3,Steel SAE 8630,STEEL SAE 8630,STEEL SAE 8630,ANSI,STEEL,annealed,564.0,,372.0,,207.0,79.0,0.3,,7.86,29.0,,156.0,,,,
FF15759DE83F481EB447ED12A677851D,Steel SAE 8630,STEEL SAE 8630,STEEL SAE 8630,ANSI,STEEL,tempered at 400 F,1641.0,,1503.0,,207.0,79.0,0.3,,7.86,9.0,,465.0,,,,
D18C57467E3D439EA62473DC3D8DB6BA,Steel SAE 8640,STEEL SAE 8640,STEEL SAE 8640,ANSI,STEEL,tempered at 400 F,1862.0,,1669.0,,207.0,79.0,0.3,,7.86,10.0,,505.0,,,,
C863DF7515C14B09922C8387B8C52638,Steel SAE 8650,STEEL SAE 8650,STEEL SAE 8650,ANSI,STEEL,normalized,1024.0,,688.0,,207.0,79.0,0.3,,7.86,14.0,,302.0,,,,
